id	venue_name	slug	profile_tier	listing_status	venue_type	city	neighborhood	address	latitude	longitude	website	instagram	banner_image_url	banner_image_alt	ticker_text	karaoke_day	start_time	end_time	host_name	vibe_tags	description	specials	happy_hour	food_highlights	drink_highlights	parking_info	age_policy	accessibility_notes	cover_charge	reservation_link	booking_contact	is_featured	confidence_score	confidence_notes	source_1	source_2	source_3	last_verified
venue-0081	Joycee's Cocktails	joycees-cocktails	basic	verified	live_bar	Spring Valley	Spring Valley	1025 Elkelton Blvd, Spring Valley, CA 91977	32.7169	-116.9842						Every other Wednesday	8:00 PM	12:00 AM	Javier / DJ Harvest	Spring Valley, Every other Wednesday karaoke, live karaoke	Every other Wednesday karaoke in Spring Valley.											FALSE	92	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0082	Novo Brazil Brewing - Lane Ave	novo-brazil-brewing-lane-ave	basic	verified	live_bar	Chula Vista	Chula Vista / Eastlake		32.646	-116.9638						Thursday	6:30 PM	TBD	DJ Loy reported	Chula Vista / Eastlake, Thursday karaoke, live karaoke	Thursday karaoke at Novo Brazil Brewing - Lane Ave.											FALSE	95	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0083	Wong's Golden Palace	wongs-golden-palace	basic	verified	live_bar	San Diego	La Mesa / East County		32.7562	-117.0445						Thursday	7:00 PM	11:00 PM	DJ Harvest	La Mesa / East County, Thursday karaoke, live karaoke	Thursday karaoke with DJ Harvest.											FALSE	95	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0084	710 Beach Club	710-beach-club	basic	verified	live_bar	San Diego	Pacific Beach		32.7971	-117.2562						Thursday	8:00 PM	12:00 AM	Rotating Two of Clubs KJs	Pacific Beach, Thursday karaoke, live karaoke	Pacific Beach Thursday karaoke.											FALSE	95	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0085	The Search Bar	the-search-bar	basic	verified	live_bar	Chula Vista	Eastlake / South Bay		32.6508	-116.9699						Thursday	8:00 PM	12:00 AM	Host details coming soon	Eastlake / South Bay, Thursday karaoke, live karaoke	Eastlake / South Bay Thursday karaoke.											FALSE	88	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0086	Happy Does	happy-does	basic	verified	live_bar	San Diego	East Village		32.7109	-117.1585						Thursday	8:30 PM	12:30 AM	Veronica	East Village, Thursday karaoke, live karaoke	East Village Thursday karaoke.											FALSE	95	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0087	Hearth House	hearth-house	basic	verified	live_bar	La Mesa	La Mesa / East County		32.7734	-117.0326						Thursday	9:00 PM	close	James	La Mesa / East County, Thursday karaoke, live karaoke	La Mesa / East County Thursday karaoke.											FALSE	95	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0088	Camel's Bar and Grill	camels-bar-grill	basic	verified	live_bar	San Diego	Mission Valley		32.7938	-117.1082						Thursday	9:00 PM	TBD	DJ Mike	Mission Valley, Thursday karaoke, live karaoke	Mission Valley Thursday karaoke.											FALSE	92	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0089	Pal Joey's Cocktail Lounge	pal-joeys-cocktail-lounge	basic	verified	live_bar	San Diego	Allied Gardens		32.7928	-117.0828						Thursday	9:00 PM	1:00 AM	Trini	Allied Gardens, Thursday karaoke, live karaoke	Allied Gardens Thursday karaoke.											FALSE	95	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0090	Werewolf	werewolf	basic	verified	live_bar	San Diego	Gaslamp		32.7121	-117.1606						Thursday	9:00 PM	1:30 AM	Host details coming soon	Gaslamp, Thursday karaoke, live karaoke	Gaslamp Thursday karaoke.											FALSE	88	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0091	Ginger's	gingers	basic	verified	live_bar	San Diego	Gaslamp		32.7119	-117.1604						Thursday	9:00 PM	12:00 AM	Mikey Mic	Gaslamp, Thursday karaoke, live karaoke	Gaslamp Thursday karaoke.											FALSE	95	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0092	Whiskey Girl	whiskey-girl	basic	verified	live_bar	San Diego	Gaslamp		32.7134	-117.16						Thursday	9:00 PM	1:00 AM	Live Band Karaoke	Gaslamp, Thursday karaoke, live karaoke	Gaslamp Thursday live band karaoke.											FALSE	95	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
